id,Locality,Type of property,Subtype of property,Price,Type of sale,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,Compound Listing
20315447,1325,APARTMENT,APARTMENT,364790,residential_sale,2,84,1.0,0.0,0,1.0,31.0,,,,,,1.0,,compound
20318223,9500,APARTMENT,APARTMENT,400000,residential_sale,3,252,1.0,,0,,,,,,,2.0,,GOOD,single
20321461,8660,APARTMENT,APARTMENT,1250000,residential_sale,2,138,1.0,,0,1.0,62.0,,,,,,,GOOD,single
20312244,8300,APARTMENT,APARTMENT,875000,residential_sale,2,99,,0.0,0,,,,,,,,,AS_NEW,compound
20312263,8300,APARTMENT,APARTMENT,915000,residential_sale,2,96,,0.0,0,,,,,,,,,AS_NEW,compound
20312247,8300,APARTMENT,APARTMENT,1075000,residential_sale,2,104,,0.0,0,,,,,,,,,AS_NEW,compound
20312269,8300,APARTMENT,APARTMENT,1300000,residential_sale,2,108,,0.0,0,,,,,,,,,AS_NEW,compound
20312324,8300,APARTMENT,APARTMENT,2925000,residential_sale,4,192,,0.0,0,,,,,,,,,AS_NEW,compound
20323529,2140,HOUSE,HOUSE,450000,residential_sale,3,215,1.0,,1,1.0,5.0,1.0,75.0,75.0,140.0,3.0,,TO_BE_DONE_UP,single
20321890,8300,APARTMENT,APARTMENT,1175000,residential_sale,3,89,1.0,0.0,0,1.0,,,,,,2.0,,AS_NEW,single
20315534,4020,HOUSE,HOUSE,199000,residential_sale,3,102,1.0,0.0,0,1.0,19.0,1.0,65.0,65.0,66.0,2.0,0.0,AS_NEW,single
20324296,2650,APARTMENT,APARTMENT,334000,residential_sale,2,105,1.0,,0,1.0,6.0,,,,,2.0,,JUST_RENOVATED,single
20314605,2830,APARTMENT,PENTHOUSE,299000,residential_sale,3,125,1.0,,0,1.0,7.0,,,,,2.0,,GOOD,single
20323322,7181,HOUSE,EXCEPTIONAL_PROPERTY,648000,residential_sale,4,210,1.0,0.0,0,1.0,,,,,6066.0,4.0,0.0,TO_BE_DONE_UP,single
20318981,8300,APARTMENT,APARTMENT,3850000,residential_sale,3,182,1.0,0.0,0,1.0,,,,,,2.0,,GOOD,single
20311532,9080,APARTMENT,APARTMENT,349000,residential_sale,2,120,1.0,0.0,0,1.0,2.0,,,,,,,GOOD,single
20323855,1830,HOUSE,HOUSE,489000,residential_sale,4,175,,0.0,0,,,,,,409.0,,,GOOD,single
20310776,4420,HOUSE,HOUSE,289000,residential_sale,3,141,1.0,1.0,0,1.0,20.0,1.0,492.0,492.0,600.0,4.0,0.0,AS_NEW,single
